Episode,RollingWin,OverallWin,Epsilon,Speed,Opponent
1000,0.512,0.512,1.0,10.433795498813222,random
2000,0.527,0.5195,0.9905,10.071636441928963,random
3000,0.488,0.509,0.9905,10.05730460529984,random
4000,0.504,0.50775,0.9905,9.905890477373964,random
5000,0.511,0.5084,0.9905,9.4432115340491,random
6000,0.506,0.508,0.9905,9.241003691872963,random
7000,0.514,0.5088571428571429,0.9430000000000001,9.879475158252644,random
8000,0.516,0.50975,0.9430000000000001,9.827787536056187,random
9000,0.529,0.5118888888888888,0.9430000000000001,9.97448719507036,random
10000,0.502,0.5109,0.9430000000000001,9.700790298645366,random
11000,0.525,0.5121818181818182,0.9430000000000001,9.419592318852187,random
12000,0.542,0.5146666666666667,0.8955,10.418111943490931,random
13000,0.576,0.5193846153846153,0.8955,10.287815738118372,random
14000,0.579,0.5236428571428572,0.8955,10.358715047263868,random
15000,0.535,0.5244,0.8955,9.947946057531556,random
16000,0.559,0.5265625,0.8955,9.713957561290062,random
17000,0.573,0.5292941176470588,0.848,10.67284211486301,random
18000,0.559,0.5309444444444444,0.848,10.62138361089354,random
19000,0.544,0.5316315789473685,0.848,10.570391087506081,random
20000,0.584,0.53425,0.848,10.525806040895061,random
21000,0.609,0.5378095238095238,0.848,10.283799399615676,random
22000,0.633,0.5421363636363636,0.8005,10.905011141245858,random
23000,0.595,0.5444347826086956,0.8005,10.882552670643287,random
24000,0.732,0.5522083333333333,0.445375,11.144444389502707,random
25000,0.735,0.55952,0.445375,11.00125411108465,random
26000,0.746,0.5666923076923077,0.445375,11.169434584736047,random
27000,0.747,0.5733703703703704,0.445375,10.988633241995062,random
28000,0.758,0.5799642857142857,0.445375,10.83521076523226,random
29000,0.77,0.5865172413793104,0.445375,10.62789129832979,random
30000,0.749,0.5919333333333333,0.445375,10.812316319165944,random
31000,0.746,0.5969032258064516,0.445375,10.584761540488708,random
32000,0.764,0.602125,0.445375,10.732807320650434,random
33000,0.749,0.6065757575757575,0.445375,10.487838327726132,random
34000,0.757,0.611,0.421625,12.034095383239896,random
35000,0.772,0.6156,0.421625,11.946885785268869,random
36000,0.774,0.62,0.421625,11.820778611508144,random
37000,0.758,0.6237297297297297,0.421625,11.60772917080686,random
38000,0.76,0.6273157894736842,0.421625,11.517546731615255,random
39000,0.771,0.631,0.421625,11.515982674677323,random
40000,0.753,0.63405,0.421625,11.31332187481213,random
41000,0.76,0.6371219512195122,0.421625,11.010919209218539,random
42000,0.766,0.6401904761904762,0.421625,11.113467523167943,random
43000,0.788,0.6436279069767442,0.421625,10.838636370087885,random
44000,0.751,0.6460681818181818,0.397875,12.008845027160856,random
45000,0.763,0.6486666666666666,0.397875,11.986503226813431,random
46000,0.771,0.6513260869565217,0.397875,11.893661674872444,random
47000,0.751,0.6534468085106383,0.397875,11.727186686986483,random
48000,0.777,0.6560208333333334,0.397875,11.735094462378578,random
49000,0.773,0.6584081632653062,0.397875,11.787604344652815,random
50000,0.809,0.66142,0.26725,12.239704909438336,random
51000,0.785,0.663843137254902,0.26725,12.166055961773623,random
52000,0.77,0.6658846153846154,0.26725,11.958072550953696,random
53000,0.779,0.6680188679245282,0.26725,11.884283016910302,random
54000,0.763,0.6697777777777778,0.26725,11.87129290943196,random
55000,0.775,0.6716909090909091,0.26725,11.782577832149292,random
56000,0.786,0.6737321428571429,0.26725,11.610404015851673,random
57000,0.804,0.6760175438596491,0.26725,11.351271389745344,random
58000,0.798,0.6781206896551724,0.26725,11.468723783262062,random
59000,0.778,0.6798135593220339,0.26725,11.166694521254906,random
60000,0.808,0.68195,0.21975,12.477980927464653,random
61000,0.776,0.6834918032786885,0.21975,12.384764121388796,random
62000,0.811,0.6855483870967742,0.21975,12.299625428186697,random
63000,0.765,0.6868095238095238,0.21975,12.359846453682293,random
64000,0.803,0.688625,0.21975,12.335197784216033,random
65000,0.811,0.6905076923076923,0.21975,12.200944438439063,random
66000,0.797,0.6921212121212121,0.21975,11.934713698334221,random
67000,0.808,0.6938507462686567,0.21975,11.555400989009746,random
68000,0.79,0.6952647058823529,0.21975,11.615891509860933,random
69000,0.809,0.6969130434782609,0.21975,11.294442455342752,random
70000,0.788,0.6982142857142857,0.17225000000000001,12.316435968458572,random
71000,0.794,0.6995633802816902,0.17225000000000001,12.389962421374046,random
72000,0.806,0.7010416666666667,0.17225000000000001,12.333052907238073,random
73000,0.797,0.7023561643835616,0.17225000000000001,12.353352501009825,random
74000,0.795,0.7036081081081081,0.17225000000000001,12.35180230843907,random
75000,0.807,0.7049866666666667,0.17225000000000001,12.26979395032852,random
76000,0.772,0.7058684210526316,0.17225000000000001,12.042928312391627,random
77000,0.78,0.7068311688311688,0.17225000000000001,12.158488224239962,random
78000,0.812,0.7081794871794872,0.17225000000000001,11.844895031236339,random
79000,0.792,0.709240506329114,0.17225000000000001,11.946972321708863,random
80000,0.822,0.71065,0.12475000000000003,12.62652758696616,random
81000,0.798,0.7117283950617284,0.12475000000000003,12.435555381801146,random
82000,0.801,0.7128170731707317,0.12475000000000003,12.340790273271603,random
83000,0.795,0.7138072289156626,0.12475000000000003,12.388671137124263,random
84000,0.807,0.7149166666666666,0.12475000000000003,12.40080524247372,random
85000,0.794,0.7158470588235294,0.12475000000000003,12.321455102991804,random
86000,0.785,0.7166511627906976,0.12475000000000003,12.178236442120042,random
87000,0.811,0.717735632183908,0.12475000000000003,12.269714557626022,random
88000,0.789,0.7185454545454546,0.12475000000000003,11.906790925921348,random
89000,0.81,0.7195730337078652,0.12475000000000003,11.984034823631935,random
90000,0.816,0.7206444444444444,0.07725000000000004,12.825753940125312,random
91000,0.796,0.7214725274725274,0.07725000000000004,12.601028725817626,random
92000,0.797,0.7222934782608695,0.07725000000000004,12.566446235763065,random
93000,0.829,0.7234408602150537,0.07725000000000004,12.593016066257588,random
94000,0.8,0.7242553191489361,0.07725000000000004,12.51356995913949,random
95000,0.816,0.725221052631579,0.07725000000000004,12.425601781519266,random
96000,0.826,0.7262708333333333,0.07725000000000004,12.274049328889033,random
97000,0.817,0.7272061855670103,0.07725000000000004,12.338964307198728,random
98000,0.811,0.7280612244897959,0.07725000000000004,12.001590676371984,random
99000,0.801,0.7287979797979798,0.07725000000000004,12.059311587728436,random
100000,0.809,0.7296,0.02975,12.614716652524711,random
101000,0.811,0.7304059405940594,0.02975,12.521976861228175,random
