Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
627000,82.90%,79.84%,0.0100,24.39438163702959,0.6576,25665511,maxbp
628000,81.90%,79.85%,0.0100,24.3777012555809,0.6379,25667060,maxbp
629000,82.90%,79.85%,0.0100,24.500984789340738,0.6578,25668551,maxbp
630000,84.10%,79.86%,0.0100,24.03019922209559,0.6820,25670014,maxbp
631000,81.80%,79.86%,0.0100,23.497763402032586,0.6364,25671422,maxbp
632000,80.70%,79.86%,0.0100,23.63667283915842,0.6137,25672923,maxbp
633000,81.30%,79.86%,0.0100,23.005333416967073,0.6264,25674484,maxbp
634000,81.80%,79.87%,0.0100,22.981858597947255,0.6358,25675819,maxbp
635000,82.80%,79.87%,0.0100,22.82865940794402,0.6564,25677269,maxbp
636000,81.00%,79.88%,0.0100,22.902764403291016,0.6200,25678701,maxbp
637000,82.50%,79.88%,0.0100,23.63557460124466,0.6498,25680121,maxbp
638000,82.00%,79.88%,0.0100,23.924163696149773,0.6404,25681381,maxbp
639000,82.90%,79.89%,0.0100,23.99788398174635,0.6572,25682688,maxbp
640000,81.80%,79.89%,0.0100,23.678925903913964,0.6361,25684243,maxbp
641000,80.80%,79.89%,0.0100,23.0564782109476,0.6158,25685686,maxbp
642000,83.80%,79.90%,0.0100,23.41673689462962,0.6765,25686958,maxbp
643000,81.80%,79.90%,0.0100,22.654650900835826,0.6357,25688261,maxbp
644000,82.80%,79.91%,0.0100,22.777649121385704,0.6564,25689789,maxbp
645000,81.70%,79.91%,0.0100,24.072590600161373,0.6339,25691286,maxbp
646000,82.20%,79.92%,0.0100,23.887568464866504,0.6435,25692839,maxbp
647000,81.40%,79.92%,0.0100,24.35351796101252,0.6285,25694180,maxbp
648000,83.00%,79.92%,0.0100,24.637498866329125,0.6603,25695519,maxbp
649000,82.20%,79.93%,0.0100,24.523541022832486,0.6438,25696827,maxbp
650000,82.70%,79.93%,0.0100,24.292886173343224,0.6541,25698229,maxbp
651000,81.10%,79.93%,0.0100,23.2494226552503,0.6217,25699626,maxbp
652000,83.10%,79.94%,0.0100,23.53843429274087,0.6621,25701147,maxbp
653000,83.20%,79.94%,0.0100,22.684394849038767,0.6637,25702616,maxbp
654000,82.20%,79.95%,0.0100,22.63197435456303,0.6446,25703810,maxbp
655000,81.10%,79.95%,0.0100,22.015190965918613,0.6219,25705260,maxbp
656000,81.30%,79.95%,0.0100,23.157626452608532,0.6262,25706586,maxbp
657000,81.50%,79.96%,0.0100,23.607322798472627,0.6296,25708046,maxbp
658000,79.60%,79.96%,0.0100,23.816847093037566,0.5922,25709517,maxbp
659000,82.30%,79.96%,0.0100,23.625485007346178,0.6458,25710937,maxbp
660000,83.10%,79.96%,0.0100,23.265787237179243,0.6626,25712428,maxbp
661000,84.30%,79.97%,0.0100,22.81117030045316,0.6857,25713870,maxbp
662000,82.80%,79.98%,0.0100,23.220860090400894,0.6562,25715329,maxbp
663000,82.30%,79.98%,0.0100,22.54918326575541,0.6459,25716770,maxbp
664000,82.10%,79.98%,0.0100,22.632813603026868,0.6420,25718188,maxbp
665000,83.00%,79.98%,0.0100,23.751757780164183,0.6601,25719607,maxbp
666000,82.70%,79.99%,0.0100,23.76099250414566,0.6543,25720857,maxbp
667000,82.40%,79.99%,0.0100,23.749378483119475,0.6478,25722300,maxbp
668000,83.20%,80.00%,0.0100,24.09125625681086,0.6639,25723728,maxbp
669000,82.20%,80.00%,0.0100,24.03470412906311,0.6439,25724904,maxbp
670000,83.50%,80.01%,0.0100,23.878864593323208,0.6696,25726503,maxbp
671000,81.20%,80.01%,0.0100,23.164992306060654,0.6243,25727947,maxbp
672000,84.00%,80.01%,0.0100,23.57023088017448,0.6796,25729269,maxbp
673000,81.70%,80.02%,0.0100,22.84295532058488,0.6345,25730634,maxbp
674000,83.10%,80.02%,0.0100,22.965023758475166,0.6619,25732008,maxbp
675000,82.00%,80.02%,0.0100,24.291619481511592,0.6400,25733426,maxbp
676000,82.80%,80.03%,0.0100,24.216761535574477,0.6559,25734871,maxbp
677000,83.20%,80.03%,0.0100,24.107167756552773,0.6640,25736508,maxbp
678000,85.50%,80.04%,0.0100,24.080894561980074,0.7103,25737695,maxbp
679000,79.90%,80.04%,0.0100,24.27112632441015,0.5975,25739215,maxbp
680000,81.70%,80.04%,0.0100,24.025646807900895,0.6342,25740536,maxbp
681000,83.40%,80.05%,0.0100,23.437448186980948,0.6684,25741899,maxbp
682000,83.20%,80.05%,0.0100,23.71174004375464,0.6641,25743223,maxbp
683000,81.00%,80.05%,0.0100,23.015638387862058,0.6195,25744606,maxbp
684000,82.70%,80.06%,0.0100,23.07544782719531,0.6542,25746101,maxbp
685000,83.90%,80.07%,0.0100,24.108981482293125,0.6777,25747667,maxbp
686000,83.00%,80.07%,0.0100,24.56920754985377,0.6603,25749015,maxbp
687000,83.60%,80.08%,0.0100,25.015891206024907,0.6722,25750459,maxbp
688000,83.50%,80.08%,0.0100,24.87869881261017,0.6692,25752127,maxbp
689000,81.80%,80.08%,0.0100,24.718265086392076,0.6367,25753441,maxbp
690000,83.40%,80.09%,0.0100,24.128082298141223,0.6678,25754775,maxbp
691000,83.80%,80.09%,0.0100,23.44246081023899,0.6758,25756104,maxbp
692000,84.70%,80.10%,0.0100,23.79413363351177,0.6938,25757396,maxbp
693000,83.20%,80.10%,0.0100,22.911370220106313,0.6640,25758998,maxbp
694000,83.60%,80.11%,0.0100,22.667570933790465,0.6723,25760224,maxbp
695000,80.30%,80.11%,0.0100,23.082330830775128,0.6059,25761663,maxbp
696000,82.60%,80.11%,0.0100,24.052304315992167,0.6520,25762894,maxbp
697000,82.80%,80.12%,0.0100,24.018413652910816,0.6560,25764209,maxbp
698000,83.10%,80.12%,0.0100,24.25208624668062,0.6624,25765529,maxbp
699000,83.90%,80.13%,0.0100,24.31676740605891,0.6778,25766930,maxbp
700000,82.40%,80.13%,0.0100,23.868835674529723,0.6479,25768210,maxbp
701000,84.20%,80.14%,0.0100,23.1895151124412,0.6840,25769670,maxbp
702000,79.50%,80.14%,0.0100,23.527495645865407,0.5897,25770990,maxbp
703000,84.00%,80.14%,0.0100,22.89726595718828,0.6801,25772472,maxbp
704000,84.40%,80.15%,0.0100,23.035961572662956,0.6883,25773951,maxbp
705000,83.40%,80.15%,0.0100,24.241412356520918,0.6678,25775694,maxbp
706000,83.80%,80.16%,0.0100,24.735003170615936,0.6760,25777209,maxbp
707000,82.90%,80.16%,0.0100,24.88807463018773,0.6585,25778679,maxbp
708000,83.50%,80.17%,0.0100,25.05460574073299,0.6699,25779998,maxbp
709000,83.70%,80.17%,0.0100,24.555526570737577,0.6737,25781299,maxbp
710000,82.60%,80.18%,0.0100,24.34184372933103,0.6526,25782779,maxbp
711000,82.90%,80.18%,0.0100,23.901803729543367,0.6579,25784247,maxbp
712000,81.30%,80.18%,0.0100,24.15336879316163,0.6260,25785554,maxbp
713000,80.70%,80.18%,0.0100,23.396939838486578,0.6142,25786945,maxbp
714000,83.00%,80.19%,0.0100,23.4698378248511,0.6593,25788365,maxbp
715000,80.80%,80.19%,0.0100,23.267542993960486,0.6160,25789793,maxbp
716000,83.30%,80.20%,0.0100,23.993078023898846,0.6664,25791412,maxbp
717000,82.10%,80.20%,0.0100,24.257804409861787,0.6415,25792826,maxbp
718000,79.40%,80.20%,0.0100,24.25916760714375,0.5883,25794088,maxbp
719000,81.80%,80.20%,0.0100,24.16906674496093,0.6355,25795401,maxbp
720000,82.80%,80.20%,0.0100,23.94067893213197,0.6562,25796807,maxbp
721000,80.60%,80.20%,0.0100,22.568000592515045,0.6123,25798351,maxbp
722000,82.90%,80.21%,0.0100,22.941349745693003,0.6577,25799750,maxbp
723000,81.50%,80.21%,0.0100,22.29662235031217,0.6301,25801348,maxbp
724000,83.50%,80.21%,0.0100,22.602936900695298,0.6697,25802699,maxbp
725000,81.50%,80.21%,0.0100,24.731813711073773,0.6298,25804006,maxbp
726000,82.20%,80.22%,0.0100,24.740760806661168,0.6441,25805358,maxbp
727000,83.70%,80.22%,0.0100,24.74839670305623,0.6742,25806827,maxbp
728000,85.10%,80.23%,0.0100,24.75901708265771,0.7016,25808159,maxbp
729000,82.80%,80.23%,0.0100,24.7132364926477,0.6558,25809538,maxbp
730000,81.30%,80.23%,0.0100,24.372027101670614,0.6263,25811052,maxbp
731000,82.60%,80.24%,0.0100,23.612122694350106,0.6520,25812485,maxbp
732000,82.90%,80.24%,0.0100,23.718357929962536,0.6586,25813851,maxbp
