Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
1000,2.40%,2.40%,1.0000,44.00412731735388,-0.9525,1535245,hueristic
2000,3.00%,2.70%,1.0000,44.01469459552368,-0.9402,1543382,hueristic
3000,3.00%,2.80%,1.0000,43.79414234092364,-0.9399,1551219,hueristic
4000,3.50%,2.97%,1.0000,42.873935501253214,-0.9299,1559505,hueristic
5000,3.00%,2.98%,1.0000,42.724633159720774,-0.9397,1567550,hueristic
6000,2.80%,2.95%,1.0000,42.231639197416165,-0.9444,1575506,hueristic
7000,2.70%,2.91%,1.0000,42.5856593640668,-0.9460,1583584,hueristic
8000,3.00%,2.93%,1.0000,41.66265031132646,-0.9396,1591475,hueristic
9000,2.50%,2.88%,1.0000,41.94167004525075,-0.9503,1598975,hueristic
10000,2.80%,2.87%,1.0000,39.85983670471682,-0.9440,1606780,hueristic
11000,3.30%,2.91%,0.9962,43.223904776209615,-0.9343,1614303,hueristic
12000,3.10%,2.93%,0.9962,43.242680380702865,-0.9382,1621861,hueristic
13000,3.30%,2.95%,0.9962,42.50259286883179,-0.9342,1629541,hueristic
14000,2.60%,2.93%,0.9962,41.837146938719215,-0.9475,1637106,hueristic
15000,3.30%,2.95%,0.9962,41.1401295664002,-0.9343,1644600,hueristic
16000,3.30%,2.97%,0.9962,41.56585446387093,-0.9338,1652113,hueristic
17000,3.60%,3.01%,0.9962,40.61045424003121,-0.9280,1659317,hueristic
18000,3.60%,3.04%,0.9962,38.83104856182041,-0.9281,1666731,hueristic
19000,3.90%,3.09%,0.9962,39.03603784255608,-0.9222,1674030,hueristic
20000,3.40%,3.10%,0.9962,36.89071561137876,-0.9315,1681278,hueristic
21000,4.40%,3.16%,0.9924,41.43421008346472,-0.9127,1688616,hueristic
22000,3.70%,3.19%,0.9924,41.310560854619474,-0.9257,1695777,hueristic
23000,2.50%,3.16%,0.9924,41.331617524344736,-0.9501,1702674,hueristic
24000,3.00%,3.15%,0.9924,40.58940348551287,-0.9400,1709516,hueristic
25000,3.20%,3.15%,0.9924,40.300402369871634,-0.9357,1716367,hueristic
26000,3.60%,3.17%,0.9924,40.68545660488856,-0.9282,1723507,hueristic
27000,3.90%,3.20%,0.9924,39.98186394607138,-0.9223,1730463,hueristic
28000,3.10%,3.19%,0.9924,38.78580995775988,-0.9380,1737530,hueristic
29000,3.50%,3.20%,0.9924,39.149339440115725,-0.9300,1744230,hueristic
30000,2.20%,3.17%,0.9924,37.418597488052505,-0.9560,1751260,hueristic
31000,2.90%,3.16%,0.9886,41.607962754346694,-0.9425,1757993,hueristic
32000,2.50%,3.14%,0.9886,41.87445884878663,-0.9499,1764707,hueristic
33000,3.70%,3.16%,0.9886,41.55592522449224,-0.9261,1771519,hueristic
34000,2.30%,3.13%,0.9886,40.91937054160027,-0.9540,1778056,hueristic
35000,3.50%,3.14%,0.9886,40.89927926846482,-0.9299,1784667,hueristic
36000,3.10%,3.14%,0.9886,41.22159537073038,-0.9380,1791298,hueristic
37000,3.30%,3.15%,0.9886,40.577915786193536,-0.9339,1798044,hueristic
38000,4.20%,3.17%,0.9886,39.44011790866033,-0.9160,1804688,hueristic
39000,2.60%,3.16%,0.9886,39.714220325581955,-0.9482,1811229,hueristic
40000,2.50%,3.14%,0.9886,38.0222651565685,-0.9501,1817850,hueristic
41000,2.70%,3.13%,0.9848,40.75847956896552,-0.9468,1824338,hueristic
42000,2.90%,3.12%,0.9848,41.223566536070784,-0.9417,1830578,hueristic
43000,3.10%,3.12%,0.9848,40.95645217399478,-0.9380,1837061,hueristic
44000,3.80%,3.14%,0.9848,40.28458071397587,-0.9241,1843479,hueristic
45000,3.90%,3.16%,0.9848,40.16690693303883,-0.9217,1849923,hueristic
46000,4.10%,3.18%,0.9848,40.556955093119086,-0.9183,1856371,hueristic
47000,3.90%,3.19%,0.9848,40.015439350244996,-0.9219,1862446,hueristic
48000,3.10%,3.19%,0.9848,38.94730099543755,-0.9380,1868719,hueristic
49000,3.40%,3.19%,0.9848,39.189745244848034,-0.9322,1875026,hueristic
50000,3.70%,3.20%,0.9848,37.51953489804473,-0.9256,1881189,hueristic
51000,3.20%,3.20%,0.9810,41.08028620717704,-0.9366,1887282,hueristic
52000,2.90%,3.19%,0.9810,41.53885674683341,-0.9420,1893269,hueristic
53000,2.80%,3.19%,0.9810,41.370960156504644,-0.9438,1899327,hueristic
54000,2.80%,3.18%,0.9810,40.63875166028249,-0.9439,1905440,hueristic
55000,3.90%,3.19%,0.9810,40.371913765628236,-0.9222,1911654,hueristic
56000,3.20%,3.19%,0.9810,40.7302222147607,-0.9360,1917574,hueristic
57000,2.70%,3.18%,0.9810,39.99715242223177,-0.9461,1923514,hueristic
58000,3.60%,3.19%,0.9810,39.04378580280059,-0.9276,1929534,hueristic
59000,3.70%,3.20%,0.9810,39.315207715805485,-0.9260,1935430,hueristic
60000,3.20%,3.20%,0.9810,37.30856724041329,-0.9363,1941376,hueristic
61000,3.80%,3.21%,0.9772,40.34196270718386,-0.9246,1947231,hueristic
62000,3.50%,3.21%,0.9772,40.8419621426639,-0.9300,1952970,hueristic
63000,3.00%,3.21%,0.9772,40.717111034011715,-0.9398,1958949,hueristic
64000,3.30%,3.21%,0.9772,39.99476520390471,-0.9338,1964754,hueristic
65000,3.70%,3.22%,0.9772,39.79775204581296,-0.9263,1970799,hueristic
66000,3.80%,3.23%,0.9772,40.21866108519928,-0.9241,1976786,hueristic
67000,3.40%,3.23%,0.9772,39.426442620204746,-0.9315,1982800,hueristic
68000,3.40%,3.23%,0.9772,38.625416103669586,-0.9323,1988569,hueristic
69000,2.10%,3.22%,0.9772,38.92291862621769,-0.9581,1994275,hueristic
70000,3.30%,3.22%,0.9772,37.165228484988624,-0.9341,1999892,hueristic
71000,3.60%,3.23%,0.9734,40.34781450989448,-0.9287,2005688,hueristic
72000,3.80%,3.23%,0.9734,40.427967941884795,-0.9238,2011305,hueristic
73000,3.90%,3.24%,0.9734,40.38957741960635,-0.9222,2017069,hueristic
74000,3.30%,3.24%,0.9734,39.897860698877764,-0.9338,2022756,hueristic
75000,3.30%,3.24%,0.9734,39.8935283329193,-0.9339,2028301,hueristic
76000,3.50%,3.25%,0.9734,39.080048661724916,-0.9302,2034017,hueristic
