Battles,RollingWin,OverallWin,Epsilon,Speed,TableSize,Opponent
9000,82.00%,81.44%,0.4928,25.852847284406394,275149,random
9100,82.36%,81.49%,0.4928,26.05906767205935,277318,random
9200,82.17%,81.48%,0.4928,25.804156912026958,279490,random
9300,82.08%,81.47%,0.4928,26.10108677474921,281617,random
9400,81.93%,81.46%,0.4928,26.188245775561583,283831,random
9500,81.87%,81.45%,0.4928,25.698839518641826,286085,random
9600,82.06%,81.49%,0.4928,25.885019696727426,288140,random
9700,82.29%,81.54%,0.4928,25.96528967904362,290337,random
9800,82.67%,81.61%,0.4928,26.04195864962811,292379,random
9900,82.79%,81.65%,0.4928,25.669546150699137,294451,random
10000,82.35%,81.57%,0.4928,25.71155801536153,296585,random
10100,78.00%,81.53%,0.4910,23.480015694754602,298678,random
10200,77.50%,81.49%,0.4910,24.323987573628155,300865,random
10300,78.33%,81.48%,0.4910,25.323101733168432,303031,random
10400,79.00%,81.47%,0.4910,25.266281598653574,305214,random
10500,81.20%,81.55%,0.4910,25.482306087265894,307247,random
10600,81.67%,81.58%,0.4910,26.05272897619047,309326,random
10700,81.00%,81.53%,0.4910,25.994624041241035,311349,random
10800,80.88%,81.52%,0.4910,25.81043741605264,313414,random
10900,80.33%,81.47%,0.4910,26.02837681765775,315522,random
11000,80.70%,81.49%,0.4910,25.640416833810423,317519,random
11100,80.91%,81.50%,0.4910,25.99181700752516,319399,random
11200,80.50%,81.46%,0.4910,25.683366435028283,321479,random
11300,80.46%,81.44%,0.4910,25.92448819345012,323468,random
11400,81.00%,81.50%,0.4910,26.14168200992402,325408,random
11500,80.73%,81.46%,0.4910,25.758406021758464,327436,random
11600,80.31%,81.40%,0.4910,26.000035294938318,329325,random
11700,80.47%,81.41%,0.4910,26.128691455913106,331188,random
11800,80.28%,81.37%,0.4910,26.343154729882343,333079,random
11900,80.16%,81.34%,0.4910,25.85165418060786,335020,random
12000,79.95%,81.30%,0.4910,25.99636668535968,336914,random
12100,87.00%,81.35%,0.4892,25.977628528379864,338939,random
12200,85.50%,81.37%,0.4892,25.54001121511284,340934,random
12300,86.00%,81.41%,0.4892,25.931798501406483,342913,random
12400,85.00%,81.42%,0.4892,25.192825796652983,344770,random
12500,85.80%,81.48%,0.4892,25.345799146429375,346611,random
12600,84.83%,81.47%,0.4892,25.808119708015273,348580,random
12700,84.57%,81.48%,0.4892,25.466053417398932,350381,random
