Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
68000,14.30%,7.56%,0.3565,37.36402527232093,-0.7139,1226350,hueristic
69000,4.20%,7.51%,0.8654,39.16035966659528,-0.9166,1226452,hueristic
70000,4.70%,7.47%,0.8654,39.2199834129448,-0.9058,1226592,hueristic
71000,3.70%,7.42%,0.8654,39.53304620384434,-0.9260,1226708,hueristic
72000,5.40%,7.39%,0.8654,38.65621447604544,-0.8919,1226841,hueristic
73000,4.30%,7.35%,0.8654,38.369810074186155,-0.9142,1226951,hueristic
74000,4.20%,7.31%,0.8654,37.313128840003515,-0.9160,1227059,hueristic
75000,3.80%,7.26%,0.8654,37.536948146733195,-0.9239,1227168,hueristic
76000,5.20%,7.23%,0.8654,36.98223451060563,-0.8961,1227277,hueristic
77000,4.30%,7.19%,0.8654,35.55524708370549,-0.9140,1227409,hueristic
78000,3.70%,7.15%,0.8654,35.83133054571491,-0.9259,1227502,hueristic
79000,4.30%,7.11%,0.8456,39.38492714743826,-0.9145,1227634,hueristic
80000,4.20%,7.08%,0.8456,39.681024019394876,-0.9161,1227761,hueristic
81000,5.20%,7.05%,0.8456,39.36489252467633,-0.8959,1227870,hueristic
82000,5.70%,7.04%,0.8456,39.53359796161483,-0.8859,1228000,hueristic
83000,4.80%,7.01%,0.8456,39.429846264075685,-0.9039,1228099,hueristic
84000,5.60%,7.00%,0.8456,39.157300433759524,-0.8883,1228223,hueristic
85000,5.90%,6.98%,0.8456,39.58807365076579,-0.8818,1228327,hueristic
86000,4.90%,6.96%,0.8456,38.930373981724344,-0.9022,1228439,hueristic
87000,5.90%,6.95%,0.8456,37.75715913135914,-0.8816,1228538,hueristic
88000,4.40%,6.92%,0.8456,38.08956613036909,-0.9123,1228665,hueristic
89000,4.90%,6.90%,0.8258,38.78491829875009,-0.9025,1228801,hueristic
90000,5.10%,6.88%,0.8258,39.60485846517208,-0.8977,1228930,hueristic
91000,5.80%,6.87%,0.8258,39.367028936282644,-0.8840,1229030,hueristic
92000,4.60%,6.84%,0.8258,39.556467203899935,-0.9083,1229126,hueristic
93000,4.70%,6.82%,0.8258,39.52411290864419,-0.9061,1229238,hueristic
94000,5.30%,6.80%,0.8258,39.19321039148444,-0.8940,1229365,hueristic
95000,5.50%,6.79%,0.8258,38.67438465620816,-0.8899,1229457,hueristic
96000,4.40%,6.76%,0.8258,39.0563552927636,-0.9121,1229573,hueristic
97000,4.70%,6.74%,0.8258,37.48056023027707,-0.9060,1229693,hueristic
98000,5.70%,6.73%,0.8258,37.73519670575997,-0.8860,1229799,hueristic
99000,7.40%,6.74%,0.8060,38.40149794905635,-0.8525,1229910,hueristic
100000,5.40%,6.72%,0.8060,38.95493943247807,-0.8919,1230026,hueristic
101000,5.50%,6.71%,0.8060,37.873683972456696,-0.8903,1230121,hueristic
102000,5.40%,6.70%,0.8060,37.896126056780815,-0.8920,1230206,hueristic
103000,6.20%,6.69%,0.8060,37.75348353075678,-0.8759,1230310,hueristic
104000,5.60%,6.68%,0.8060,37.53227164463742,-0.8879,1230415,hueristic
105000,6.10%,6.68%,0.8060,37.83539835829365,-0.8782,1230513,hueristic
106000,5.60%,6.67%,0.8060,37.12063698573529,-0.8877,1230612,hueristic
107000,5.30%,6.65%,0.8060,36.493007418049075,-0.8942,1230706,hueristic
108000,4.00%,6.63%,0.8060,36.800477014728074,-0.9198,1230805,hueristic
109000,6.10%,6.62%,0.7862,36.13759499162688,-0.8786,1230927,hueristic
110000,5.40%,6.61%,0.7862,36.90424866015568,-0.8921,1231035,hueristic
111000,7.20%,6.62%,0.7822,39.82257319753776,-0.8566,1231132,hueristic
112000,5.90%,6.61%,0.7822,39.1426492264367,-0.8814,1231240,hueristic
113000,5.60%,6.60%,0.7822,38.56551902249484,-0.8884,1231322,hueristic
114000,6.60%,6.60%,0.7822,38.558759644495616,-0.8681,1231407,hueristic
115000,5.70%,6.59%,0.7822,38.33669709050202,-0.8854,1231501,hueristic
116000,5.70%,6.58%,0.7822,37.72311953097414,-0.8867,1231602,hueristic
117000,6.80%,6.59%,0.7822,38.088846046734716,-0.8639,1231699,hueristic
118000,6.80%,6.59%,0.7822,36.46101559980996,-0.8640,1231816,hueristic
119000,6.20%,6.58%,0.7822,34.680835352206046,-0.8758,1231901,hueristic
120000,5.90%,6.58%,0.7822,35.045392584383286,-0.8822,1231991,hueristic
121000,6.80%,6.58%,0.7624,37.63613463169125,-0.8645,1232085,hueristic
122000,7.80%,6.59%,0.7624,38.30832784879248,-0.8440,1232174,hueristic
123000,6.50%,6.59%,0.7624,37.762003188914385,-0.8700,1232265,hueristic
124000,6.70%,6.59%,0.7624,37.904098903080076,-0.8660,1232373,hueristic
125000,6.70%,6.59%,0.7624,37.64927815039534,-0.8659,1232482,hueristic
126000,7.00%,6.60%,0.7624,37.11979121250249,-0.8598,1232583,hueristic
127000,6.20%,6.59%,0.7624,36.09995199981464,-0.8760,1232668,hueristic
128000,7.40%,6.60%,0.7624,36.52661214643418,-0.8521,1232752,hueristic
129000,7.00%,6.60%,0.7624,35.073462507680425,-0.8601,1232855,hueristic
130000,5.90%,6.60%,0.7624,35.52955789860967,-0.8818,1232943,hueristic
131000,5.90%,6.59%,0.7426,38.61420264978999,-0.8825,1233041,hueristic
132000,5.80%,6.59%,0.7426,38.68185981961173,-0.8840,1233125,hueristic
133000,7.10%,6.59%,0.7426,38.029328708715404,-0.8581,1233224,hueristic
134000,6.50%,6.59%,0.7426,38.14045772361219,-0.8696,1233319,hueristic
135000,6.40%,6.59%,0.7426,38.018026547842155,-0.8722,1233412,hueristic
136000,8.00%,6.60%,0.7426,37.63701394906048,-0.8399,1233489,hueristic
137000,6.20%,6.60%,0.7426,37.26352988767148,-0.8758,1233570,hueristic
138000,6.60%,6.60%,0.7426,37.77082160031648,-0.8684,1233675,hueristic
139000,7.00%,6.60%,0.7426,36.36733671625759,-0.8600,1233761,hueristic
140000,6.50%,6.60%,0.7426,36.702588899340356,-0.8700,1233851,hueristic
141000,7.10%,6.60%,0.7228,38.43266213302858,-0.8584,1233950,hueristic
142000,8.40%,6.62%,0.7228,38.91047327690375,-0.8320,1234043,hueristic
143000,9.50%,6.64%,0.7228,38.580722687451306,-0.8101,1234128,hueristic
144000,7.30%,6.64%,0.7228,38.837575339140066,-0.8539,1234216,hueristic
145000,7.20%,6.64%,0.7228,38.34615452360833,-0.8561,1234306,hueristic
146000,6.60%,6.64%,0.7228,37.757911776688324,-0.8680,1234393,hueristic
147000,7.60%,6.65%,0.7228,37.07510784159194,-0.8478,1234479,hueristic
148000,6.70%,6.65%,0.7228,37.4636210414406,-0.8663,1234563,hueristic
149000,5.70%,6.64%,0.7228,35.83316079840171,-0.8857,1234647,hueristic
150000,6.80%,6.65%,0.7228,36.315478448500166,-0.8639,1234728,hueristic
151000,7.50%,6.66%,0.7030,38.526648951265166,-0.8505,1234808,hueristic
152000,7.60%,6.66%,0.7030,39.20486353707441,-0.8478,1234889,hueristic
153000,7.70%,6.67%,0.7030,38.89789820137711,-0.8463,1234983,hueristic
154000,7.40%,6.67%,0.7030,38.88136979130739,-0.8518,1235064,hueristic
155000,7.00%,6.68%,0.7030,38.78629196115541,-0.8601,1235151,hueristic
156000,6.90%,6.68%,0.7030,38.43788438964632,-0.8619,1235236,hueristic
157000,7.80%,6.68%,0.7030,37.913600714582515,-0.8444,1235312,hueristic
158000,8.10%,6.69%,0.7030,38.263709764067364,-0.8376,1235386,hueristic
159000,6.80%,6.69%,0.7030,36.571690017458614,-0.8639,1235457,hueristic
160000,7.00%,6.70%,0.7030,36.96717854692083,-0.8602,1235533,hueristic
161000,8.20%,6.71%,0.6832,38.826090033824386,-0.8364,1235615,hueristic
162000,9.20%,6.72%,0.6832,38.483366671774625,-0.8162,1235690,hueristic
163000,7.70%,6.73%,0.6832,38.50811451644788,-0.8460,1235776,hueristic
164000,8.50%,6.74%,0.6832,38.729557055687195,-0.8299,1235869,hueristic
165000,9.50%,6.76%,0.6832,38.76586928834936,-0.8098,1235944,hueristic
166000,7.20%,6.76%,0.6832,38.251920370107655,-0.8558,1236033,hueristic
167000,8.00%,6.77%,0.6832,37.545109353880626,-0.8404,1236092,hueristic
168000,7.80%,6.77%,0.6832,37.94087943610027,-0.8440,1236159,hueristic
169000,8.00%,6.78%,0.6832,36.318946426264134,-0.8399,1236236,hueristic
170000,9.00%,6.79%,0.6832,36.62031372711505,-0.8201,1236307,hueristic
171000,9.20%,6.80%,0.6634,38.524571756343775,-0.8162,1236377,hueristic
172000,8.10%,6.81%,0.6634,38.53070331134577,-0.8382,1236431,hueristic
173000,7.00%,6.81%,0.6634,38.30431834239936,-0.8602,1236509,hueristic
174000,9.60%,6.83%,0.6634,38.58027332662196,-0.8080,1236569,hueristic
175000,8.10%,6.84%,0.6634,38.623466456556486,-0.8379,1236655,hueristic
176000,7.30%,6.84%,0.6634,38.46900242301838,-0.8540,1236731,hueristic
177000,8.70%,6.85%,0.6634,37.94598429486403,-0.8258,1236797,hueristic
178000,7.70%,6.85%,0.6634,38.39578344157077,-0.8464,1236877,hueristic
179000,7.40%,6.86%,0.6634,36.70117641359385,-0.8518,1236952,hueristic
180000,7.50%,6.86%,0.6634,37.1522861722927,-0.8501,1237033,hueristic
181000,9.20%,6.87%,0.6436,39.08205315031164,-0.8165,1237098,hueristic
182000,9.60%,6.89%,0.6436,39.75492194050847,-0.8081,1237160,hueristic
183000,9.80%,6.90%,0.6436,39.41258629558567,-0.8037,1237232,hueristic
184000,8.40%,6.91%,0.6436,39.416030956163226,-0.8320,1237289,hueristic
185000,9.40%,6.93%,0.6436,38.617780049082604,-0.8122,1237382,hueristic
186000,9.90%,6.94%,0.6436,37.87234831511266,-0.8018,1237467,hueristic
187000,8.70%,6.95%,0.6436,37.077985834338975,-0.8261,1237524,hueristic
188000,9.10%,6.96%,0.6436,37.12944034971999,-0.8182,1237606,hueristic
189000,8.10%,6.97%,0.6436,35.640293919172706,-0.8378,1237662,hueristic
190000,9.10%,6.98%,0.6436,36.04135219414573,-0.8183,1237746,hueristic
191000,10.20%,7.00%,0.6238,39.24131729261309,-0.7966,1237826,hueristic
192000,9.40%,7.01%,0.6238,39.387786128028054,-0.8120,1237894,hueristic
193000,9.70%,7.02%,0.6238,39.14719289423733,-0.8058,1237982,hueristic
194000,11.40%,7.05%,0.6238,39.1689721634179,-0.7720,1238049,hueristic
195000,11.80%,7.07%,0.6238,38.88597159137124,-0.7642,1238102,hueristic
196000,9.40%,7.08%,0.6238,38.39318845456726,-0.8119,1238170,hueristic
197000,10.90%,7.10%,0.6238,37.56056872762669,-0.7822,1238258,hueristic
198000,10.40%,7.12%,0.6238,37.85171383018908,-0.7919,1238326,hueristic
199000,9.40%,7.13%,0.6238,36.804604233688124,-0.8119,1238391,hueristic
200000,10.40%,7.15%,0.6238,37.059367878232464,-0.7918,1238454,hueristic
201000,10.80%,7.17%,0.6040,37.49393941078853,-0.7845,1238512,hueristic
202000,9.70%,7.18%,0.6040,38.50387114868937,-0.8060,1238577,hueristic
203000,11.20%,7.20%,0.6040,38.434377584928896,-0.7760,1238639,hueristic
204000,11.10%,7.22%,0.6040,38.33414074591688,-0.7774,1238694,hueristic
205000,10.70%,7.24%,0.6040,38.113929971214965,-0.7866,1238759,hueristic
206000,10.90%,7.25%,0.6040,37.46226189597021,-0.7818,1238814,hueristic
207000,11.00%,7.27%,0.6040,36.74125072591341,-0.7801,1238878,hueristic
208000,11.40%,7.29%,0.6040,37.12128998550154,-0.7720,1238937,hueristic
209000,12.60%,7.32%,0.6040,35.515070811717095,-0.7477,1239006,hueristic
210000,10.60%,7.33%,0.6040,35.77293015770157,-0.7882,1239075,hueristic
211000,10.80%,7.35%,0.5842,37.75989023381518,-0.7844,1239141,hueristic
212000,10.70%,7.36%,0.5842,38.0974616485646,-0.7862,1239202,hueristic
213000,12.70%,7.39%,0.5842,37.94601326272951,-0.7457,1239245,hueristic
214000,11.10%,7.40%,0.5842,38.07646718771195,-0.7783,1239315,hueristic
215000,13.20%,7.43%,0.5842,37.816763873139585,-0.7359,1239370,hueristic
216000,9.50%,7.44%,0.5842,37.12452030612463,-0.8100,1239426,hueristic
217000,11.40%,7.46%,0.5842,36.464634923032136,-0.7718,1239481,hueristic
218000,11.00%,7.48%,0.5842,36.945517397769635,-0.7802,1239542,hueristic
219000,11.90%,7.50%,0.5842,35.83873917421763,-0.7618,1239599,hueristic
220000,10.20%,7.51%,0.5842,36.07859945795739,-0.7960,1239672,hueristic
221000,13.60%,7.54%,0.5644,38.418420042585666,-0.7283,1239725,hueristic
222000,11.60%,7.56%,0.5644,38.49615845316868,-0.7679,1239793,hueristic
223000,12.60%,7.58%,0.5644,38.18995883932537,-0.7483,1239837,hueristic
224000,13.30%,7.60%,0.5644,37.73069239998246,-0.7339,1239893,hueristic
225000,12.60%,7.63%,0.5644,37.41484133148345,-0.7480,1239949,hueristic
226000,10.40%,7.64%,0.5644,36.98501509580711,-0.7921,1240014,hueristic
227000,10.40%,7.65%,0.5644,36.01548041640907,-0.7921,1240072,hueristic
228000,11.60%,7.67%,0.5644,36.46225766993938,-0.7679,1240120,hueristic
229000,11.80%,7.69%,0.5644,34.77004295604544,-0.7640,1240186,hueristic
230000,11.90%,7.70%,0.5644,35.17679321692774,-0.7619,1240230,hueristic
231000,13.50%,7.73%,0.5446,37.25361294551823,-0.7304,1240272,hueristic
232000,12.70%,7.75%,0.5446,37.31403091673978,-0.7459,1240329,hueristic
233000,13.80%,7.77%,0.5446,37.00759271234435,-0.7242,1240378,hueristic
234000,13.20%,7.80%,0.5446,36.902512691126965,-0.7359,1240433,hueristic
235000,13.80%,7.82%,0.5446,36.27832872632529,-0.7241,1240502,hueristic
236000,12.30%,7.84%,0.5446,35.901396113143534,-0.7537,1240557,hueristic
237000,13.80%,7.87%,0.5446,35.64756403184289,-0.7239,1240606,hueristic
238000,12.90%,7.89%,0.5446,36.151484357777115,-0.7421,1240665,hueristic
239000,14.60%,7.92%,0.5446,34.9580114479384,-0.7083,1240709,hueristic
240000,13.50%,7.94%,0.5446,35.448846398672316,-0.7297,1240763,hueristic
241000,14.10%,7.97%,0.5248,39.06772825694098,-0.7184,1240822,hueristic
242000,13.60%,7.99%,0.5248,39.13310683058337,-0.7281,1240874,hueristic
243000,13.90%,8.01%,0.5248,38.54653258265333,-0.7214,1240922,hueristic
244000,13.50%,8.04%,0.5248,38.55208133118299,-0.7302,1240968,hueristic
245000,13.50%,8.06%,0.5248,38.607827675425696,-0.7304,1241032,hueristic
246000,13.90%,8.08%,0.5248,37.87812542269546,-0.7220,1241075,hueristic
247000,13.60%,8.10%,0.5248,38.33326079291493,-0.7280,1241136,hueristic
248000,13.40%,8.13%,0.5248,37.61801381578829,-0.7321,1241181,hueristic
249000,14.60%,8.15%,0.5248,35.96565523725842,-0.7079,1241220,hueristic
250000,12.60%,8.17%,0.5248,36.35524199556896,-0.7482,1241282,hueristic
251000,14.70%,8.20%,0.5050,37.22675851134042,-0.7063,1241333,hueristic
252000,15.80%,8.23%,0.5050,37.63812556588262,-0.6842,1241379,hueristic
253000,12.30%,8.24%,0.5050,37.388298742125585,-0.7540,1241442,hueristic
254000,13.40%,8.26%,0.5050,37.81490499344384,-0.7320,1241489,hueristic
255000,15.30%,8.29%,0.5050,37.71951777503623,-0.6938,1241530,hueristic
256000,14.00%,8.31%,0.5050,37.09729264656335,-0.7201,1241589,hueristic
257000,12.30%,8.33%,0.5050,36.638124647929715,-0.7538,1241642,hueristic
258000,14.40%,8.35%,0.5050,37.10508036741488,-0.7120,1241692,hueristic
259000,13.30%,8.37%,0.5050,35.67322159255696,-0.7340,1241748,hueristic
260000,14.00%,8.39%,0.5050,36.1212705131641,-0.7200,1241794,hueristic
261000,13.60%,8.41%,0.4852,38.04863476851592,-0.7287,1241839,hueristic
262000,13.90%,8.43%,0.4852,38.69503041765716,-0.7219,1241893,hueristic
263000,15.60%,8.46%,0.4852,38.556750936569735,-0.6877,1241938,hueristic
264000,15.10%,8.48%,0.4852,38.68300018046608,-0.6980,1241987,hueristic
265000,16.50%,8.51%,0.4852,38.69441694793734,-0.6701,1242030,hueristic
266000,14.90%,8.54%,0.4852,37.71011633451455,-0.7020,1242068,hueristic
267000,12.50%,8.55%,0.4852,36.52326581662644,-0.7500,1242105,hueristic
268000,15.00%,8.58%,0.4852,36.952029961228476,-0.6997,1242143,hueristic
269000,15.30%,8.60%,0.4852,35.21844827041867,-0.6939,1242191,hueristic
270000,14.50%,8.62%,0.4852,35.68325721558961,-0.7105,1242232,hueristic
271000,16.20%,8.65%,0.4654,38.89965651978276,-0.6765,1242270,hueristic
272000,14.90%,8.67%,0.4654,38.923543757592164,-0.7017,1242319,hueristic
273000,16.30%,8.70%,0.4654,38.62108520477479,-0.6743,1242363,hueristic
274000,14.80%,8.72%,0.4654,38.75938509624424,-0.7038,1242402,hueristic
275000,15.60%,8.75%,0.4654,38.62411185922576,-0.6882,1242451,hueristic
276000,13.90%,8.77%,0.4654,38.09240787511655,-0.7219,1242493,hueristic
277000,15.50%,8.79%,0.4654,37.40938593680641,-0.6899,1242532,hueristic
278000,16.40%,8.82%,0.4654,37.81897695425591,-0.6720,1242581,hueristic
279000,16.90%,8.85%,0.4654,36.23491314634362,-0.6621,1242631,hueristic
280000,14.50%,8.87%,0.4654,36.36958817079228,-0.7098,1242678,hueristic
281000,16.40%,8.90%,0.4456,38.27786827475845,-0.6724,1242716,hueristic
282000,16.50%,8.92%,0.4456,38.35183005229731,-0.6700,1242770,hueristic
283000,16.80%,8.95%,0.4456,38.17852204540161,-0.6639,1242806,hueristic
284000,17.90%,8.98%,0.4456,38.387313987320375,-0.6422,1242860,hueristic
285000,17.40%,9.01%,0.4456,38.409321293370425,-0.6520,1242908,hueristic
286000,15.60%,9.04%,0.4456,37.961770757237076,-0.6880,1242953,hueristic
287000,19.20%,9.07%,0.4456,37.37040160963088,-0.6161,1242982,hueristic
288000,17.80%,9.10%,0.4456,37.709971153682,-0.6440,1243025,hueristic
289000,16.30%,9.13%,0.4456,36.53601416707915,-0.6738,1243074,hueristic
290000,14.80%,9.15%,0.4456,36.926597672673445,-0.7039,1243106,hueristic
291000,18.10%,9.18%,0.4258,37.55669214567133,-0.6385,1243156,hueristic
292000,17.50%,9.21%,0.4258,38.32368157165412,-0.6502,1243193,hueristic
293000,16.90%,9.24%,0.4258,38.05147287128894,-0.6618,1243234,hueristic
294000,17.90%,9.26%,0.4258,37.967691261762475,-0.6416,1243263,hueristic
295000,16.90%,9.29%,0.4258,37.841148572774934,-0.6622,1243304,hueristic
